old_id,new_id
TC-LOC-CPR-201,TC-CPR-DET-001
TC-LOC-CPR-202,TC-CPR-DET-002
TC-LOC-CPR-203,TC-CPR-DET-003
TC-LOC-CPR-204,TC-CPR-DET-004
TC-LOC-CPR-205,TC-CPR-DET-005
TC-LOC-CPR-206,TC-CPR-DET-006
TC-LOC-CPR-207,TC-CPR-DET-007
TC-LOC-CPR-208,TC-CPR-DET-008
TC-LOC-CPR-209,TC-CPR-DET-009
TC-LOC-CPR-210,TC-CPR-DET-010
TC-LOC-CPR-211,TC-CPR-DET-011
TC-LOC-CPR-212,TC-CPR-DET-012
TC-LOC-CPR-213,TC-CPR-DET-013
TC-LOC-CPR-214,TC-CPR-DET-014
TC-LOC-CPR-215,TC-CPR-DET-015
TC-LOC-CPR-216,TC-CPR-DET-016
TC-LOC-CPR-217,TC-CPR-DET-017
TC-LOC-CPR-218,TC-CPR-DET-018
TC-LOC-CPR-219,TC-CPR-DET-019
TC-LOC-CPR-220,TC-CPR-DET-020
TC-LOC-CPR-301,TC-CPR-NPB-001
TC-LOC-CPR-302,TC-CPR-NPB-002
TC-LOC-CPR-303,TC-CPR-NPB-003
TC-LOC-CPR-304,TC-CPR-NPB-004
TC-LOC-CPR-305,TC-CPR-NPB-005
TC-LOC-CPR-306,TC-CPR-NPB-006
TC-LOC-CPR-307,TC-CPR-NPB-007
TC-LOC-CPR-308,TC-CPR-NPB-008
TC-LOC-CPR-309,TC-CPR-NPB-009
TC-LOC-CPR-310,TC-CPR-NPB-010
TC-LOC-CPR-311,TC-CPR-NPB-011
TC-LOC-CPR-312,TC-CPR-NPB-012
TC-LOC-CPR-313,TC-CPR-NPB-013
TC-LOC-CPR-314,TC-CPR-NPB-014
TC-LOC-CPR-315,TC-CPR-NPB-015
TC-LOC-CPR-316,TC-CPR-NPB-016
TC-LOC-CPR-317,TC-CPR-NPB-017
TC-LOC-CPR-318,TC-CPR-NPB-018
TC-LOC-CPR-319,TC-CPR-NPB-019
TC-LOC-CPR-320,TC-CPR-NPB-020
TC-LOC-CPR-321,TC-CPR-NPB-021
TC-LOC-CPR-322,TC-CPR-NPB-022
TC-LOC-CPR-323,TC-CPR-NPB-023
TC-LOC-CPR-324,TC-CPR-NPB-024
TC-LOC-CPR-325,TC-CPR-NPB-025
TC-LOC-CPR-326,TC-CPR-NPB-026
TC-LOC-CPR-327,TC-CPR-NPB-027
TC-LOC-CPR-328,TC-CPR-NPB-028
TC-LOC-CPR-329,TC-CPR-NPB-029
TC-LOC-CPR-330,TC-CPR-NPB-030
TC-LOC-CPR-501,TC-CPR-OVR-001
TC-LOC-CPR-502,TC-CPR-OVR-002
TC-LOC-CPR-503,TC-CPR-OVR-003
TC-LOC-CPR-504,TC-CPR-OVR-004
TC-LOC-CPR-505,TC-CPR-OVR-005
TC-LOC-CPR-506,TC-CPR-OVR-006
TC-LOC-CPR-507,TC-CPR-OVR-007
TC-LOC-CPR-508,TC-CPR-OVR-008
TC-LOC-CPR-509,TC-CPR-OVR-009
TC-LOC-CPR-510,TC-CPR-OVR-010
